code,full_text
03D80,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Applications of computability and recursion theory
03D99,"Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: None of the above, but in this section"
03Exx,Class: Mathematical logic and foundations Subclass: Set theory
03E02,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Partition relations
03E04,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Ordered sets and their cofinalities; pcf theory
03E05,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Other combinatorial set theory
03E10,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Ordinal and cardinal numbers
03E15,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Descriptive set theory
03E17,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Cardinal characteristics of the continuum
03E20,"Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Other classical set theory (including functions, relations, and set algebra)"
03E25,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Axiom of choice and related propositions
03E30,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Axiomatics of classical set theory and its fragments
03E35,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Consistency and independence results
03E40,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Other aspects of forcing and Boolean-valued models
03E45,"Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Inner models, including constructibility, ordinal definability, and core models"
03E47,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Other notions of set-theoretic definability
03E50,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Continuum hypothesis and Martin’s axiom
03E55,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Large cardinals
03E57,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Generic absoluteness and forcing axioms
03E60,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Determinacy principles
03E65,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Other set theoretic hypotheses and axioms
03E70,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Nonclassical and second order set theories
03E72,"Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Theory of fuzzy sets, etc."
03E75,Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: Applications of set theory
03E99,"Class: Mathematical logic and foundations Subclass: Set theory Subsubclass: None of the above, but in this section"
03Fxx,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics
03F03,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Proof theory in general (including proof-theoretic semantics)
03F05,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Cut elimination and normal form theorems
03F07,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Structure of proofs
03F10,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Functionals in proof theory
03F15,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Recursive ordinals and ordinal notations
03F20,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Complexity of proofs
03F25,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Relative consistency and interpretations
03F30,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: First order arithmetic and fragments
03F35,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Second- and higher-order arithmetic and fragments
03F40,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: G¨odel numberings and issues of incompleteness
03F45,"Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Provability logics and related algebras (e.g., diagonalizable algebras)"
03F50,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Metamathematics of constructive systems
03F52,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Proof-theoretic aspects of linear logic and other substructural logics
03F55,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Intuitionistic mathematics
03F60,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Constructive and recursive analysis
03F65,Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: Other constructive mathematics
03F99,"Class: Mathematical logic and foundations Subclass: Proof theory and constructive mathematics Subsubclass: None of the above, but in this section"
03Gxx,Class: Mathematical logic and foundations Subclass: Algebraic logic
03G05,Class: Mathematical logic and foundations Subclass: Algebraic logic Subsubclass: Logical aspects of Boolean algebras
03G10,Class: Mathematical logic and foundations Subclass: Algebraic logic Subsubclass: Logical aspects of lattices and related structures
03G12,Class: Mathematical logic and foundations Subclass: Algebraic logic Subsubclass: Quantum logic
03G15,Class: Mathematical logic and foundations Subclass: Algebraic logic Subsubclass: Cylindric and polyadic algebras; relation algebras
03G20,Class: Mathematical logic and foundations Subclass: Algebraic logic Subsubclass: Logical aspects of (cid:32)Lukasiewicz and Post algebras
03G25,Class: Mathematical logic and foundations Subclass: Algebraic logic Subsubclass: Other algebras related to logic
03G27,Class: Mathematical logic and foundations Subclass: Algebraic logic Subsubclass: Abstract algebraic logic
03G30,"Class: Mathematical logic and foundations Subclass: Algebraic logic Subsubclass: Categorical logic, topoi"
03G99,"Class: Mathematical logic and foundations Subclass: Algebraic logic Subsubclass: None of the above, but in this section"
03Hxx,Class: Mathematical logic and foundations Subclass: Nonstandard models
03H05,Class: Mathematical logic and foundations Subclass: Nonstandard models Subsubclass: Nonstandard models in mathematics
03H10,"Class: Mathematical logic and foundations Subclass: Nonstandard models Subsubclass: Other applications of nonstandard models (economics, physics, etc.)"
03H15,Class: Mathematical logic and foundations Subclass: Nonstandard models Subsubclass: Nonstandard models of arithmetic
03H99,"Class: Mathematical logic and foundations Subclass: Nonstandard models Subsubclass: None of the above, but in this section"
05-XX,Class: Combinatorics
05-00,"Class: Combinatorics Subclass: General reference works (handbooks, dictionaries, bibliographies, etc.) pertaining to combinatorics"
05-01,"Class: Combinatorics Subclass: Introductory exposition (textbooks, tutorial papers, etc.) pertaining to combinatorics"
05-02,"Class: Combinatorics Subclass: Research exposition (monographs, survey articles) pertaining to combinatorics"
05-03,Class: Combinatorics Subclass: History of combinatorics
05-04,"Class: Combinatorics Subclass: Software, source code, etc. for problems pertaining to combinatorics"
05-06,"Class: Combinatorics Subclass: Proceedings, conferences, collections, etc. pertaining to combinatorics"
05-08,Class: Combinatorics Subclass: Computational methods for problems pertaining to combinatorics
05-11,Class: Combinatorics Subclass: Research data for problems pertaining to combinatorics
05Axx,Class: Combinatorics Subclass: Enumerative combinatorics
05A05,"Class: Combinatorics Subclass: Enumerative combinatorics Subsubclass: Permutations, words, matrices"
05A10,"Class: Combinatorics Subclass: Enumerative combinatorics Subsubclass: Factorials, binomial coefficients, combinatorial functions"
05A15,"Class: Combinatorics Subclass: Enumerative combinatorics Subsubclass: Exact enumeration problems, generating functions"
05A16,Class: Combinatorics Subclass: Enumerative combinatorics Subsubclass: Asymptotic enumeration
05A17,Class: Combinatorics Subclass: Enumerative combinatorics Subsubclass: Combinatorial aspects of partitions of integers
05A18,Class: Combinatorics Subclass: Enumerative combinatorics Subsubclass: Partitions of sets
05A19,"Class: Combinatorics Subclass: Enumerative combinatorics Subsubclass: Combinatorial identities, bijective combinatorics"
05A20,Class: Combinatorics Subclass: Enumerative combinatorics Subsubclass: Combinatorial inequalities
05A30,Class: Combinatorics Subclass: Enumerative combinatorics Subsubclass: q-calculus and related topics
05A40,Class: Combinatorics Subclass: Enumerative combinatorics Subsubclass: Umbral calculus
05A99,"Class: Combinatorics Subclass: Enumerative combinatorics Subsubclass: None of the above, but in this section"
05Bxx,Class: Combinatorics Subclass: Designs and configurations
05B05,Class: Combinatorics Subclass: Designs and configurations Subsubclass: Combinatorial aspects of block designs
05B07,Class: Combinatorics Subclass: Designs and configurations Subsubclass: Triple systems
05B10,"Class: Combinatorics Subclass: Designs and configurations Subsubclass: Combinatorial aspects of difference sets (number-theoretic, group-theoretic, etc.)"
05B15,"Class: Combinatorics Subclass: Designs and configurations Subsubclass: Orthogonal arrays, Latin squares, Room squares"
05B20,"Class: Combinatorics Subclass: Designs and configurations Subsubclass: Combinatorial aspects of matrices (incidence, Hadamard, etc.)"
05B25,Class: Combinatorics Subclass: Designs and configurations Subsubclass: Combinatorial aspects of finite geometries
05B30,"Class: Combinatorics Subclass: Designs and configurations Subsubclass: Other designs, configurations"
05B35,Class: Combinatorics Subclass: Designs and configurations Subsubclass: Combinatorial aspects of matroids and geometric lattices
05B40,Class: Combinatorics Subclass: Designs and configurations Subsubclass: Combinatorial aspects of packing and covering
05B45,Class: Combinatorics Subclass: Designs and configurations Subsubclass: Combinatorial aspects of tessellation and tiling problems
05B50,Class: Combinatorics Subclass: Designs and configurations Subsubclass: Polyominoes
05B99,"Class: Combinatorics Subclass: Designs and configurations Subsubclass: None of the above, but in this section"
05Cxx,Class: Combinatorics Subclass: Graph theory
05C05,Class: Combinatorics Subclass: Graph theory Subsubclass: Trees
